permutation_iteration,randomized_top_minus_bottom
1,-0.004464285714285726
2,0.04464285714285715
3,0.013392857142857123
4,-0.008928571428571425
5,0.022321428571428575
6,-0.022321428571428575
7,0.0
8,0.035714285714285726
9,0.08035714285714285
10,0.040178571428571425
11,0.004464285714285698
12,0.053571428571428575
13,0.022321428571428548
14,0.07589285714285715
15,0.004464285714285698
16,-0.035714285714285726
17,0.0
18,-0.07589285714285715
19,-0.0267857142857143
20,-0.04464285714285715
21,0.022321428571428575
22,0.058035714285714274
23,0.0267857142857143
24,-0.06696428571428573
25,-0.004464285714285698
26,-0.01785714285714285
27,-0.01339285714285715
28,0.040178571428571425
29,0.0
30,-0.026785714285714274
31,-0.008928571428571425
32,-0.017857142857142877
33,0.01339285714285715
34,0.035714285714285726
35,0.017857142857142877
36,0.01339285714285715
37,-0.004464285714285726
38,-0.0892857142857143
39,-0.013392857142857123
40,0.004464285714285726
41,0.01785714285714285
42,-0.035714285714285726
43,-0.04910714285714288
44,-0.01339285714285715
45,0.008928571428571452
46,-0.01785714285714285
47,0.0
48,-0.0267857142857143
49,0.0
50,-0.040178571428571425
51,0.03125
52,-0.008928571428571452
53,0.03125
54,0.0357142857142857
55,0.04910714285714285
56,0.0
57,-0.07142857142857145
58,0.01339285714285715
59,-0.013392857142857123
60,0.004464285714285726
61,-0.058035714285714274
62,0.05357142857142855
63,0.040178571428571425
64,-0.08482142857142859
65,0.01785714285714285
66,0.008928571428571425
67,0.0
68,-0.022321428571428575
69,-0.0625
70,0.01339285714285715
71,-0.008928571428571425
72,-0.0580357142857143
73,0.0580357142857143
74,0.008928571428571425
75,-0.040178571428571425
76,0.004464285714285698
77,-0.0580357142857143
78,0.01339285714285715
79,-0.008928571428571425
80,0.04464285714285715
81,-0.004464285714285726
82,0.0669642857142857
83,-0.026785714285714274
84,-0.03125
85,0.026785714285714274
86,-0.022321428571428575
87,0.0
88,0.017857142857142877
89,0.03125
90,0.004464285714285698
91,-0.008928571428571425
92,-0.004464285714285726
93,-0.017857142857142877
94,0.0892857142857143
95,0.0357142857142857
96,-0.0625
97,-0.0267857142857143
98,0.0
99,0.08035714285714285
100,-0.004464285714285698
101,0.0
102,-0.0625
103,-0.035714285714285726
104,0.0669642857142857
105,0.026785714285714274
106,-0.04464285714285715
107,-0.03125
108,0.013392857142857123
109,0.0625
110,0.0
111,-0.026785714285714274
112,-0.040178571428571425
113,-0.022321428571428575
114,-0.004464285714285726
115,-0.04017857142857145
116,0.022321428571428575
117,-0.008928571428571425
118,0.08928571428571427
119,0.01785714285714285
120,-0.008928571428571425
121,0.01785714285714285
122,0.004464285714285698
123,0.03125
124,-0.013392857142857123
125,-0.017857142857142877
126,-0.08482142857142858
127,0.035714285714285726
128,-0.07142857142857142
129,0.022321428571428575
130,0.017857142857142877
131,0.004464285714285726
132,0.0267857142857143
133,0.01339285714285715
